metric,Total.PPT,Mean.Temp,Nest.Topo,zero.one.int,one.two.int,Est,Std.Err,P.base,P.fdr
cc.60,NA,-21.512499968170822,-38.34345356435145,26.50813634958364,51.04360456173596,20.4403776393334,603.325584338381,0.972973229191821,0.999785348284411
cc.60.sq,21.520112708211006,13.816379651511577,NA,11.384161765954394,41.986279344154916,32.2756096772969,119972.06857035,0.999785348284411,0.999785348284411
ch.30,3.514123508365067,-0.5148018689056536,NA,0.7196068731899945,2.7608841498643537,-2.73704814297483,2.34706142791496,0.243549935914708,0.8118331197156934
ch.30.sq,NA,-27.565861860699062,NA,23.94547261995848,36.15041116928852,26.654943782581,71.2618839084785,0.70837300415307,0.999785348284411
lfd.500,1.4439704891159777,NA,NA,0.40964722219688493,3.0915848606999754,-2.17589615788107,1.55697141842532,0.162257746652926,0.8118331197156934
s10z.120,3.4028787008429324,-2.043543703832454,NA,0.5414682305940423,2.2486761724956335,-3.08165068071088,3.14039017629445,0.326447051814476,0.8161176295361899
sci.30,1.7544997795266322,-0.2724016623877879,NA,0.5850870051141038,2.0280991003341997,0.851184509111119,1.33278595846037,0.523050277042,0.8717504617366667
sdq.60,3.3362744809329543,NA,NA,1.1158062031878577,2.3502309436283806,-2.36047274756027,3.69200455396461,0.522597093967102,0.8717504617366667
sf.60,NA,-17.418487949197928,-34.48949176584955,20.96227825296244,41.822354857264294,14.950568256766,601.474524717921,0.980169402283958,0.999785348284411
sq.60,5.558860680638606,NA,NA,2.322383120446119,4.8750319975829886,-5.05991766327164,3.90830805226879,0.195438642875493,0.8118331197156934
