T.scale,Repro,Metric,Year1,Year2,Est,Std.Err,P.base,P.fdr
SSF_min,nest,cc.60,1.7290096819257654,2.2928603164337718,0.9074995993864797,0.7107655349937232,0.20167576497325626,0.742633638132516
SSF_min,nest,cc.60.sq,1.5406574185040627,2.131544582935246,0.5169813870012427,0.5600885999032263,0.3559889602172015,0.742633638132516
SSF_min,nest,ch.60,1.6039558809871477,2.087899826341638,0.524896111709916,0.6228228500803168,0.39935736019909607,0.742633638132516
SSF_min,nest,ch.60.sq,1.5809137513031912,2.2154076578953488,0.7110484375965197,0.6500222439914359,0.2740061907658758,0.742633638132516
SSF_min,nest,lfd.300,1.4912572425329458,2.136056164699371,-0.48003399060387664,0.6322356666653367,0.44769445000556557,0.742633638132516
SSF_min,nest,s10z.60,1.386209268522956,2.079499954495267,-0.004522974235730804,0.5633394682906452,0.9935939646645163,0.9935939646645163
SSF_min,nest,sci.60,1.6606534013698717,2.127416719541737,0.6214082627402981,0.5559931733289686,0.26371458974161077,0.742633638132516
SSF_min,nest,sdq.30,1.380556585473772,2.1478380805091892,0.3320641930163366,0.5730005969958916,0.5622396657859143,0.742633638132516
SSF_min,nest,sf.60,1.3753017220999144,2.1034352586713063,0.18512697650665708,0.5044005770873985,0.7136013243462259,0.7928903603846955
SSF_min,nest,sq.30,1.4508838271527158,2.1114176524725643,-0.3648111611452968,0.6845847642184045,0.5941069105060128,0.742633638132516
