Metric,Intercept,Est,Std.Err,P.base,P.fdr
sq.30,0.6491499241499245,-0.014422078381506427,0.06641067648027127,0.8324463927262205,0.9075317823120537
sf.60,0.6491499241499245,-0.103099847846369,0.058036365517294804,0.10603321822382808,0.5301660911191404
sdq.30,0.6491499241499245,-0.007924499437730135,0.06651990541121978,0.9075317823120537,0.9075317823120537
sci.60,0.6491499241499245,0.025370807977576293,0.06608184164585597,0.7090672243626648,0.9075317823120537
s10z.60,0.6491499241499245,-0.052270497251968986,0.06448222310648631,0.43645143041790446,0.9075317823120537
lfd.300,0.6491499241499245,0.022087232422271542,0.06619964502505996,0.7455375350076183,0.9075317823120537
ch.60.sq,0.6491499241499245,-0.02307247607538559,0.06616603108715652,0.7345404425349422,0.9075317823120537
ch.60,0.6491499241499245,0.05205953300779969,0.06449928749492098,0.4383654807197799,0.9075317823120537
cc.60.sq,0.6491499241499245,0.028052045037409882,0.06597337237077851,0.6796937499448199,0.9075317823120537
cc.60,0.6491499241499245,0.10520457205766032,0.05765741398005938,0.09802946067403644,0.5301660911191404
