metric,Year2018,Total.PPT,Mean.Temp,Nest.Topo,zero.one.int,one.two.int,Est,Std.Err,P.base,P.fdr
cc.30,1.6750688038895358,0.11108807858789978,0.5010592804756648,0.22469259518431378,-0.9464197602364488,0.7603032343389937,0.221195384511412,0.354918867173919,0.5331346879935343,0.7616209828479061
cc.sq,1.661050777811829,0.02922999007327027,0.47021442221691573,0.23164298888639748,-0.9355852284172702,0.7713658468400663,0.222898425873948,0.351923774948748,0.5264911892784752,0.7616209828479061
ch.30,1.6851731246073824,0.08309559023986458,0.570627247095637,0.259125522146124,-0.9336747790235452,0.7663681863499342,0.164333730406304,0.355608631496841,0.6439955314543312,0.804994414317914
ch.sq.30,1.676531628888425,0.10879871950901862,0.5547745846382546,0.2669823889140302,-0.9238698647864622,0.7645459072981283,-0.051103889792583,0.377270178676195,0.8922505531673738,0.9215967388236029
lfd.120,1.6868596170520376,0.14776525653373088,0.4931430694627951,0.17770882345924555,-0.9562888016362568,0.7698103338975152,0.354097776881867,0.371677006868722,0.3407406037240946,0.7616209828479061
s10z.60,2.08317292026946,0.032476526255899564,1.0089948614314752,0.40543120757107315,-0.7905031868069896,0.993965308283602,0.614867187615307,0.442858955273303,0.1650140297100706,0.5500467657002354
sci.60,1.6534008378595177,0.09572693102324639,0.5365025265895779,0.24160649712888163,-0.9321755965030785,0.7566656952101178,-0.0356787589149884,0.362505797722174,0.9215967388236029,0.9215967388236029
sdq.30,2.74851424766651,-0.11850995591754851,1.0632951336736152,0.5331338599411176,-0.5564217225880722,1.3403284920239145,0.820564933225997,0.430351131981961,0.056555102634397565,0.5500467657002354
sf.30,1.9839043228070372,0.11800707104276378,0.74448170815332,0.32330228456464893,-0.7751250137686645,0.9317193927150853,0.289818242829705,0.416483320242403,0.48651025430285927,0.7616209828479061
sq.30,2.347963729067893,-0.04522854381251313,0.8803262637671986,0.4368546629135268,-0.6691839049722021,1.144386991825108,0.606976048806471,0.394046439697165,0.12347097213209557,0.5500467657002354
