Metric,Int.,Est.,Std.Err,value_statistic,P.base,P.fdr
cc.60.scaled,0.5000000000000001,0.2717166031957555,0.39565454867464883,0.6867521278497701,0.5299814259545501,0.913288932524023
cc.60.sq.scaled,0.5000000000000001,0.6029965969041322,0.28999788970009577,2.079313740964554,0.10610530864180469,0.3766004540037619
ch.30.scaled,0.5000000000000001,0.04881598663091992,0.4176173486127132,0.11689166360804258,0.9125799179779042,0.913288932524023
ch.30.sq.scaled,0.5,0.7104624983847471,0.2209315722055717,3.2157581249803364,0.03241091393931942,0.3241091393931942
lfd.500.scaled,0.5000000000000001,-0.595127747214132,0.29403357142332925,-2.0240129191142873,0.11298013620112857,0.3766004540037619
s10z.120.scaled,0.5000000000000001,0.2502904209979316,0.39917248939420863,0.6270232234134593,0.564654740529773,0.913288932524023
sci.30.scaled,0.5000000000000001,-0.048419177309882294,0.41762889724869195,-0.11593828307587005,0.913288932524023,0.913288932524023
sdq.60.scaled,0.5000000000000001,0.24769909998004508,0.3995763868990119,0.6199042488530435,0.5688890910860979,0.913288932524023
sf.60.scaled,0.5000000000000001,0.17038182818882297,0.4095638023016177,0.4160080242231651,0.698754871331917,0.913288932524023
sq.60.scaled,0.5000000000000001,-0.09275558098781803,0.41575124840330074,-0.22310355373326551,0.8343851212736412,0.913288932524023
