Metric,Year2019,Year2020,Est.,Std.Err,value_statistic,P.base,P.fdr
cc.60.scaled,1.094347261679371,1.0153263691603143,-0.13323217867848355,0.19835140106572158,-0.6716976939040553,0.5090987346084506,0.5656652606760562
cc.60.sq.scaled,1.127789813570847,0.9986050932145764,-0.05677029431564658,0.19741961742362807,-0.2875615658489877,0.7765009806592312,0.7765009806592312
ch.60.scaled,1.0904238386993066,1.0172880806503466,-0.15082237767867265,0.19773020461390778,-0.7627685308532991,0.4540849925243633,0.5656652606760562
ch.60.sq.scaled,1.103660735110822,1.0106696324445887,0.13348223948043703,0.19687139247708046,0.6780174498739164,0.5051634697919716,0.5656652606760562
lfd.300.scaled,1.048777860034009,1.0381110699829954,0.3039271579160811,0.18975223451265527,1.6017052905683231,0.1241573184742045,0.46516204998724897
s10z.60.scaled,1.0763602116496949,1.0243198941751523,-0.3123698335223328,0.18690355472059694,-1.6712888847368153,0.10950148488284454,0.46516204998724897
sci.60.scaled,1.1267660169511113,0.9991169915244442,0.1386805964607502,0.19536160681242126,0.7098661744418697,0.485595556555921,0.5656652606760562
sdq.30.scaled,1.1233715133509372,1.0008142433245313,0.23900218572626658,0.19068173531267751,1.2534089084848834,0.22383279666849287,0.5595819916712321
sf.60.scaled,1.1843534069060133,0.9703232965469931,-0.18678804684186376,0.19897338314328414,-0.9387589630888192,0.35852732551426303,0.5656652606760562
sq.30.scaled,1.1010448581475754,1.011977570926212,0.28836422424587616,0.1877769345110136,1.5356743627581313,0.13954861499617469,0.46516204998724897
