T.scale,Repro,Metric,Year1,Year2,Total.PPT,Total.PPT.Std.Err,Total.PPT.P,Mean.Temp,Mean.Temp.Std.Err,Mean.Temp.P,Nest.Topo,Nest.Topo.Std.Err,Nest.Topo.P,Est,Std.Err,P.base,P.fdr
SSF_hr,fledge,cc.30,0.05689511045773433,0.5181011705054966,0.009648474541166562,0.16084885106800642,0.9521677982709713,0.14265098706095664,0.21823381648275075,0.5133300801738648,0.0763139299109251,0.15656590590009334,0.625958116267801,0.05132507954122512,0.16161826510031924,0.7508112879526398,0.9714936260041019
SSF_hr,fledge,cc.30.sq,0.06304313549438044,0.5106237972739137,-0.003958768599801064,0.1643499626533988,0.9807828679828846,0.12589137208030257,0.2234599997844595,0.5731807918590313,0.06688609960508286,0.15714473077151417,0.6703747502441816,0.07414207709019775,0.17146425020258338,0.6654467542613847,0.9714936260041019
SSF_hr,fledge,ch.30,0.056508891993132894,0.5198247994010341,0.006085760301460484,0.16178024481277586,0.9699926945268177,0.15844002155094145,0.21691221932261068,0.465125050376441,0.08482459183070111,0.15437957806403918,0.5826934127560917,0.030447704875325853,0.1579387187709149,0.8471298854734811,0.9714936260041019
SSF_hr,fledge,ch.30.sq,0.06135029796249575,0.5162609010384877,0.0062464298556496505,0.1646459597862363,0.9697366724542767,0.14963561193296282,0.22155984263928394,0.49943859623402354,0.07962792882525944,0.16699772389191073,0.6334899866399252,0.01177306094483214,0.17374799610421382,0.9459771590728145,0.9714936260041019
SSF_hr,fledge,lfd.120,0.053696746278271666,0.5160716201262844,0.016563759049580917,0.15991158930505092,0.917502081152006,0.14011316681211813,0.21657787169441162,0.5176699441153774,0.07100102436993234,0.15725917109941895,0.6516360586175776,0.0896782377588118,0.1648799792423273,0.586510217809407,0.9714936260041019
SSF_hr,fledge,s10z.60,0.011628555820059137,0.5433886659311274,-0.00550434007304832,0.15999460655381412,0.972555563846656,0.2568291569660622,0.24415708950567702,0.29284484085985796,0.12441431030488885,0.16376776743847737,0.44743415736580344,0.16585131663708577,0.18721079377463742,0.37566774751273224,0.9714936260041019
SSF_hr,fledge,sci.60,0.057791952043934273,0.5194257295348276,0.00797603301067218,0.16208764286303884,0.9607534165356535,0.15295906055523198,0.2153793783136321,0.4775898337502244,0.08279680616903105,0.15812055041711656,0.6005352850645768,-0.005693157220028454,0.15931579537925844,0.9714936260041019,0.9714936260041019
SSF_hr,fledge,sdq.30,-0.10002556810573293,0.6238413710247117,-0.02845471866905478,0.1659354466678117,0.863845842172732,0.27150505648634965,0.23791043997084393,0.25378379725676603,0.15125616006777218,0.16571264774090666,0.3613678793471441,0.22376831089396296,0.18064670710122585,0.215454086369328,0.9714936260041019
SSF_hr,fledge,sf.30,0.009196572712192486,0.5582208841810865,0.015508198393463363,0.16267020565043055,0.9240485756072203,0.20793251964718804,0.24611819849619315,0.3981955930420438,0.10237996297393401,0.1597441251033592,0.5215878462451009,0.08306892766431541,0.1817302476244604,0.6475990458056502,0.9714936260041019
SSF_hr,fledge,sq.30,-0.04845253315551242,0.5876917980655233,-0.02209287063622655,0.16471796095804067,0.8933033752801716,0.2308867468763103,0.22734291183588626,0.3098255928454191,0.1369869900680936,0.1628879504806267,0.4003540435810779,0.18598419313277131,0.17383851130164066,0.2846789029543538,0.9714936260041019
