T.scale,Repro,Metric,Intercept,Total.PPT,Mean.Temp,Nest.Topo,Est,Std.Err,P.base,P.fdr
RSF,fledge,cc.60,-22.894838152276698,NA,-4.775049044419564,-20.464149311152173,1.5688292783957447,25814.430973413273,0.9999515098876173,0.9999594072371149
RSF,fledge,cc.60.sq,-19.230191316282045,5.02834604989776,7.254439436059094,NA,17.28304979316871,33346.61677170491,0.9995864684543385,0.9999594072371149
RSF,fledge,ch.30,-1.2775782367896158,1.5826932526847108,-0.24781593054352508,NA,-1.3416758897294638,1.464245091092658,0.359513824895277,0.9999594072371149
RSF,fledge,ch.30.sq,-20.82145431710801,NA,-7.593223381336941,NA,16.59689082717728,26244.569541512206,0.9994954231562176,0.9999594072371149
RSF,fledge,lfd.500,-1.295761662039592,0.34401360943599474,0.1872035613044838,NA,-1.0103530524364739,1.0957271156731834,0.3564844713445317,0.9999594072371149
RSF,fledge,s10z.120,-23.472579900215692,NA,-3.840417677684942,-21.132583167904436,1.8764432858305384,30096.613213790202,0.9999502540330575,0.9999594072371149
RSF,fledge,sci.30,-1.0727040735268178,1.029865597634991,-0.1836044132183694,NA,0.4654686952133355,0.8633323562043499,0.5897809157494407,0.9999594072371149
RSF,fledge,sdq.60,-19.051247952656713,47.154095008272,-28.229602676156624,NA,-55.58612853112325,103724.66531929576,0.9995724130659724,0.9999594072371149
RSF,fledge,sf.60,-24.274798311938756,NA,-4.49465109216588,-22.010410753585063,1.8206204402058233,35785.810978341004,0.9999594072371149,0.9999594072371149
RSF,fledge,sq.60,-1.8927483982743425,2.078631399369188,NA,NA,-2.103461778075559,1.889075406718262,0.26549913068180603,0.9999594072371149
