Metric,Intercept,Est,Std.Err,P.base,P.fdr
sq.60,0.506232193732194,-0.10137060294066505,0.06368409734559481,0.18664964282386654,0.42952086529607064
sf.60,0.506232193732194,-0.09205283271387782,0.06712848156482756,0.24218049366111497,0.42952086529607064
sdq.60,0.506232193732194,-0.11758451668035694,0.05628618302144323,0.10494362197557612,0.42952086529607064
sci.30,0.506232193732194,0.058069603610606944,0.07603712464308757,0.48760596907782505,0.6095074613472813
s10z.120,0.506232193732194,-0.08526245911026883,0.06933427944732046,0.2861822546064223,0.42952086529607064
lfd.500,0.506232193732194,-0.014170970067205189,0.08108304349061081,0.8697491858450768,0.8697491858450768
ch.30.sq,0.506232193732194,0.045467957239645626,0.07815260875988161,0.591923800189698,0.6576931113218867
ch.30,0.506232193732194,-0.1057057062460981,0.061897010885947415,0.16286603549014106,0.42952086529607064
cc.60.sq,0.506232193732194,0.08311685456894574,0.06998257755686675,0.30066460570724945,0.42952086529607064
cc.60,0.506232193732194,-0.08581399060677772,0.06916396311589333,0.28250337027863154,0.42952086529607064
