Metric,Year2017,Year2018,Est.,Std.Err,value_statistic,P.base,P.fdr
cc.30.scaled,1.1790619901764356,1.5478864792560867,0.10567401673063663,0.13713259809535794,0.7705973502897835,0.44717853955889975,0.8466755829396346
cc.30.sq.scaled,1.1862707469505047,1.5415258115142612,0.14303021168744048,0.13399771385818143,1.0674078502474955,0.2945933400114664,0.8258880787550336
ch.30.scaled,1.2025289599052413,1.5271803294953759,0.028132891947448117,0.1364336177488335,0.20620205204291484,0.838073919528364,0.9311932439204045
ch.30.sq.scaled,1.2094575977842614,1.5210668254844757,0.08295892293664016,0.13597269790424685,0.6101145613442234,0.5465375914510637,0.8466755829396346
lfd.120.scaled,1.1788974534051782,1.5480316587601375,0.13959390792767606,0.13500228955352478,1.0340114111348522,0.3096770936865157,0.8258880787550336
s10z.60.scaled,1.2213100233789962,1.5106088029008862,0.07598928252463202,0.14047357500366137,0.5409507270150375,0.5926729080577442,0.8466755829396346
sci.60.scaled,1.1979983050269374,1.531177966152703,-0.040850154284317694,0.13596776934551272,-0.30043998280586526,0.7659848799134605,0.9311932439204045
sdq.30.scaled,1.1852175369321554,1.542455114471628,0.14527039654442256,0.1339876625212801,1.0842072606599171,0.28720474543970703,0.8258880787550336
sf.30.scaled,1.2005667230819363,1.5289117149277038,-0.004527241811115588,0.1370089128258045,-0.03304341095583761,0.9738663538786296,0.9738663538786296
sq.30.scaled,1.190980492713129,1.537370153488416,0.13273182291472319,0.1340703752124564,0.9900160472019858,0.3303552315020134,0.8258880787550336
