metric,Year2020,Total.PPT,Mean.Temp,Nest.Topo,zero.one.int,one.two.int,Est,Std.Err,P.base,P.fdr
cc.60,-0.4759567234569538,-0.3697202739943044,0.2855919597133857,-0.08631103504376102,-0.8119947244986635,0.08002149940533221,-0.400541023592305,0.48524097273762,0.40911748843663653,0.5237943970524233
cc.60.sq,-0.7433411474990662,-0.42267607981684857,0.1471703715922986,0.017616335242763317,-0.9994820064879103,-0.12526843053599956,-0.141621784638977,0.403127600811071,0.7253576037504488,0.7253576037504488
ch.60,-0.5327608660024962,-0.36101627409698545,0.13513856108309394,-0.10710208996323743,-0.8596358214582821,0.02825969805814732,-0.324169340589901,0.450123457574408,0.4714149573471809,0.5237943970524233
ch.60.sq,-0.7393463724426662,-0.41798521865370575,0.10965316845633873,0.04417940855234721,-0.9990243933127155,-0.11091336118419037,0.299404280172617,0.40616850218694,0.46103537425024205,0.5237943970524233
lfd.300,-0.9977835337570029,-0.9043884891733865,0.057885928261724645,-0.04717329175834455,-1.2281141813492595,-0.22788773463184797,0.883647367003973,0.458645559747815,0.0540238341577343,0.4148668151711881
s10z.60,-0.6781866191696952,-0.3772059534887823,0.06757612080553792,-0.2817385469064637,-1.0270472239493111,-0.05813143052484371,-0.844216355651532,0.496514823930506,0.08907746372151082,0.4148668151711881
sci.60,-0.9107716861798697,-0.5180705560816312,0.10365863959234857,-0.04652739596031205,-1.1316106259542849,-0.23584728691310486,0.390864812800085,0.428828522258964,0.36204719646245825,0.5237943970524233
sdq.30,-0.4003477756047143,-0.21824920696094904,0.19089611582880142,0.18217855899056276,-0.8283157955863212,0.08523326293949185,0.505068231693342,0.43884357501614,0.24977041396519414,0.5237943970524233
sf.60,-1.0021078182581666,-0.3907036967870146,0.020525922154969168,-0.04167508036360611,-1.181690196291186,-0.2859511705999056,-0.394916724872504,0.438256337642822,0.3675303745705271,0.5237943970524233
sq.30,-0.42177221541872584,-0.22835845866888865,0.4046234313136503,0.1792414926990939,-0.8364402717474488,0.12299924566349185,0.906853560626085,0.590276679709249,0.12446004455135644,0.4148668151711881
